"engine.time","calcium.Ca_i"
 0.00000000000000000e+00, 2.09248177200287009e-04
 1.18964642281581878e+00, 2.09211937114696524e-04
 8.31611190294041691e+00, 2.09001152139981196e-04
 1.54425773830650144e+01, 2.08790214849310934e-04
 2.25690428631896118e+01, 2.08589636292522433e-04
 5.00000000000000000e+01, 2.07833788642518654e-04
 5.00008428259178430e+01, 2.07869698428589687e-04
 5.00016856518356860e+01, 2.07869676809440101e-04
 5.00037220325785299e+01, 2.07869624636922737e-04
 5.00057584133213737e+01, 2.07869572498499031e-04
 5.00077947940642176e+01, 2.07869520493458295e-04
 5.00119262828240494e+01, 2.07869415393428379e-04
 5.00160577715838812e+01, 2.07869310764596414e-04
 5.00240376289114366e+01, 2.07869110837791566e-04
 5.00320174862389919e+01, 2.07868913435823395e-04
 5.00399973435665473e+01, 2.07868718864443581e-04
 5.00479772008941026e+01, 2.07868526874102014e-04
 5.00559570582216580e+01, 2.07868337502124659e-04
 5.00639369155492133e+01, 2.07868150754123861e-04
 5.00776218213253799e+01, 2.07867836542109544e-04
 5.01060329799480897e+01, 2.07867207003567127e-04
 5.01344441385707995e+01, 2.07866607707389936e-04
 5.01628552971935093e+01, 2.07866037323721389e-04
 5.01912664558162191e+01, 2.07865494741017471e-04
 5.02196776144389290e+01, 2.07864979020462478e-04
 5.02480887730616388e+01, 2.07864489402557990e-04
 5.02764999316843486e+01, 2.07864025305954774e-04
 5.03049110903070584e+01, 2.07863586326779905e-04
 5.03333222489297683e+01, 2.07863172241488838e-04
 5.03617334075524781e+01, 2.07862783014630060e-04
 5.03901445661751879e+01, 2.07862418812484133e-04
 5.04185557247978977e+01, 2.07862080023523299e-04
 5.04469668834206075e+01, 2.07861767286797867e-04
 5.04753780420433174e+01, 2.07861481529644765e-04
 5.05000000000000000e+01, 2.07861224016554378e-04
 5.05023328501720599e+01, 2.07861236533303870e-04
 5.05046657003441197e+01, 2.07861216348539176e-04
 5.05118368709488266e+01, 2.07861154587964927e-04
 5.05190080415535334e+01, 2.07861092769772734e-04
 5.05261792121582403e+01, 2.07861030007872266e-04
 5.05454006406308025e+01, 2.07860858014727605e-04
 5.05646220691033648e+01, 2.07860681263920309e-04
 5.05838434975759270e+01, 2.07860499488973056e-04
 5.06030649260484893e+01, 2.07860314208700757e-04
 5.06222863545210515e+01, 2.07860126020573566e-04
 5.06415077829936138e+01, 2.07859935429577619e-04
 5.06607292114661760e+01, 2.07859742983446214e-04
 5.06799506399387383e+01, 2.07859549229160026e-04
 5.06991720684113005e+01, 2.07859354688546779e-04
 5.07183934968838628e+01, 2.07859159854138569e-04
 5.07376149253564250e+01, 2.07858965192838171e-04
 5.07568363538289873e+01, 2.07858771150935698e-04
 5.07896167779161374e+01, 2.07858443334186420e-04
 5.08223972020032875e+01, 2.07858119301378537e-04
 5.08551776260904376e+01, 2.07857803591305029e-04
 5.09299460011303182e+01, 2.07857120382685007e-04
 5.10047143761701989e+01, 2.07856509089603559e-04
 5.10794827512100795e+01, 2.07856001773939824e-04
 5.11542511262499602e+01, 2.07855646211277043e-04
 5.12290195012898408e+01, 2.07855469622174273e-04
 5.13037878763297215e+01, 2.07855609868349514e-04
 5.13493728809476266e+01, 2.07855869583444512e-04
 5.13949578855655318e+01, 2.07856307405289480e-04
 5.14405428901834370e+01, 2.07857022029928241e-04
 5.14861278948013421e+01, 2.07858026849197020e-04
 5.15120511171644679e+01, 2.07858835602740268e-04
 5.15379743395275938e+01, 2.07859776798894811e-04
 5.15638975618907196e+01, 2.07860938559812692e-04
 5.15898207842538454e+01, 2.07862331892663698e-04
 5.16157440066169713e+01, 2.07864043550875187e-04
 5.16416672289800971e+01, 2.07866117955386173e-04
 5.16675904513432229e+01, 2.07868612847783883e-04
 5.16935136737063488e+01, 2.07871595204776188e-04
 5.17194368960694746e+01, 2.07875126480999174e-04
 5.17453601184326004e+01, 2.07879260856222941e-04
 5.17712833407957262e+01, 2.07884046311357531e-04
 5.17972065631588521e+01, 2.07889521996436989e-04
 5.18231297855219779e+01, 2.07895716472332730e-04
 5.18490530078851037e+01, 2.07902647473698940e-04
 5.18749762302482296e+01, 2.07910323498658288e-04
 5.19008994526113554e+01, 2.07918746160400310e-04
 5.19268226749744812e+01, 2.07927912020593165e-04
 5.19527458973376071e+01, 2.07937814004656755e-04
 5.19786691197007329e+01, 2.07948442628703853e-04
 5.20045923420638587e+01, 2.07959786978527666e-04
 5.20305155644269846e+01, 2.07971835360027589e-04
 5.20695781558762576e+01, 2.07991292001922623e-04
 5.21086407473255306e+01, 2.08012275180878613e-04
 5.21477033387748037e+01, 2.08034742750955420e-04
 5.21867659302240767e+01, 2.08058654754991713e-04
 5.22258285216733498e+01, 2.08083961577964545e-04
 5.22648911131226228e+01, 2.08110617748214003e-04
 5.23039537045718959e+01, 2.08138580999457737e-04
 5.23645614533980179e+01, 2.08184447012937284e-04
 5.24251692022241400e+01, 2.08233180629928410e-04
 5.24857769510502621e+01, 2.08284606922152821e-04
 5.25463846998763842e+01, 2.08338587612953084e-04
 5.26069924487025062e+01, 2.08394964121137266e-04
 5.26676001975286283e+01, 2.08453588971695082e-04
 5.27282079463547504e+01, 2.08514342120708014e-04
 5.27888156951808725e+01, 2.08577107349642595e-04
 5.28494234440069945e+01, 2.08641768703397428e-04
 5.29100311928331166e+01, 2.08708225654543440e-04
 5.29706389416592387e+01, 2.08776391053522390e-04
 5.30312466904853608e+01, 2.08846181497173165e-04
 5.31231466584921961e+01, 2.08954934815669527e-04
 5.32150466264990314e+01, 2.09067009938005506e-04
 5.33069465945058667e+01, 2.09182197590195918e-04
 5.33988465625127020e+01, 2.09300303394156252e-04
 5.35677981021044971e+01, 2.09524522604146639e-04
 5.37367496416962922e+01, 2.09757184806993308e-04
 5.39057011812880873e+01, 2.09997449365002635e-04
 5.40746527208798824e+01, 2.10244794851352707e-04
 5.42436042604716775e+01, 2.10498491929430313e-04
 5.44125558000634726e+01, 2.10758853885047539e-04
 5.45815073396552677e+01, 2.11024923133060449e-04
 5.47504588792470628e+01, 2.11295107452171579e-04
 5.49194104188388579e+01, 2.11571267541213383e-04
 5.50883619584306530e+01, 2.11854612492262104e-04
 5.52573134980224481e+01, 2.12140140178988058e-04
 5.54262650376142432e+01, 2.12427526868333932e-04
 5.55952165772060383e+01, 2.12726294787412033e-04
 5.57641681167978334e+01, 2.13031927636928833e-04
 5.59331196563896285e+01, 2.13327287059782573e-04
 5.61020711959814236e+01, 2.13629904484321950e-04
 5.62207674509625832e+01, 2.13861198300912804e-04
 5.62997032887911715e+01, 2.14007956702785731e-04
 5.63573323452028276e+01, 2.14116750506548816e-04
 5.64149614016144838e+01, 2.14227438590856335e-04
 5.64725904580261400e+01, 2.14334156225362966e-04
 5.65302195144377961e+01, 2.14444759820076102e-04
 5.65878485708494523e+01, 2.14555418252369243e-04
 5.66454776272611085e+01, 2.14667637634591567e-04
 5.67031066836727646e+01, 2.14774261455048137e-04
 5.67447049721998980e+01, 2.14857553642401828e-04
 5.67863032607270313e+01, 2.14938803049709380e-04
 5.68279015492541646e+01, 2.15020186861444867e-04
 5.68694998377812979e+01, 2.15100252119673578e-04
 5.69110981263084312e+01, 2.15187261552154702e-04
 5.69409810070593139e+01, 2.15245674495107150e-04
 5.69708638878101965e+01, 2.15305196373906989e-04
 5.70007467685610791e+01, 2.15363268079685584e-04
 5.70306296493119618e+01, 2.15425381838906080e-04
 5.70605125300628444e+01, 2.15484811151256378e-04
 5.70903954108137270e+01, 2.15542466133811147e-04
 5.71202782915646097e+01, 2.15602639564091181e-04
 5.71501611723154923e+01, 2.15664609160536616e-04
 5.71800440530663749e+01, 2.15725013136587194e-04
 5.72099269338172576e+01, 2.15784346050505477e-04
 5.72398098145681402e+01, 2.15845015745641218e-04
 5.72696926953190228e+01, 2.15906677460016310e-04
 5.72995755760699055e+01, 2.15967722608103251e-04
 5.73294584568207881e+01, 2.16028418852339096e-04
 5.73593413375716707e+01, 2.16089790193984204e-04
 5.73892242183225534e+01, 2.16151611793234276e-04
 5.74191070990734360e+01, 2.16213253300153135e-04
 5.74663379487966637e+01, 2.16310657166543291e-04
 5.75135687985198913e+01, 2.16409221035211518e-04
 5.75607996482431190e+01, 2.16507232828835346e-04
 5.76080304979663467e+01, 2.16606744857406161e-04
 5.77111401827690216e+01, 2.16824621669596345e-04
 5.78142498675716965e+01, 2.17044225483804294e-04
 5.79173595523743714e+01, 2.17265753126700802e-04
 5.80204692371770463e+01, 2.17489586072293199e-04
 5.82009564589420947e+01, 2.17886919174011136e-04
 5.83814436807071431e+01, 2.18290619990083279e-04
 5.85619309024721915e+01, 2.18699932783398551e-04
 5.89140677416125058e+01, 2.19519677950912690e-04
 5.92662045807528202e+01, 2.20367786890771821e-04
 5.96183414198931345e+01, 2.21246610551828037e-04
 5.99704782590334489e+01, 2.22155974247781871e-04
 6.03226150981737632e+01, 2.23098016294595607e-04
 6.06747519373140776e+01, 2.24078780923606330e-04
 6.10268887764543919e+01, 2.25098838318212746e-04
 6.15911974088893786e+01, 2.26818906777176643e-04
 6.21555060413243652e+01, 2.28658710729481770e-04
 6.27198146737593518e+01, 2.30637410461928153e-04
 6.32841233061943385e+01, 2.32765949602266488e-04
 6.38484319386293251e+01, 2.35066223306142975e-04
 6.44127405710643046e+01, 2.37554700301544845e-04
 6.49770492034992913e+01, 2.40246707936867497e-04
 6.55413578359342779e+01, 2.43174756018357943e-04
 6.61056664683692645e+01, 2.46362488572857271e-04
 6.66699751008042512e+01, 2.49809284943669876e-04
 6.72342837332392378e+01, 2.53548669369253851e-04
 6.77985923656742244e+01, 2.57627981815817739e-04
 6.83629009981092111e+01, 2.61994313266233035e-04
 6.89272096305441977e+01, 2.66691511738627546e-04
 6.94915182629791843e+01, 2.71752238195269765e-04
 7.00558268954141710e+01, 2.77102434997924065e-04
 7.06201355278491576e+01, 2.82708687323476946e-04
 7.09651312160269470e+01, 2.86351397621194281e-04
 7.11724439680588290e+01, 2.88552985851209612e-04
 7.13092520210137053e+01, 2.90023875713283014e-04
 7.14460600739685816e+01, 2.91509408661766553e-04
 7.15828681269234579e+01, 2.93007941970366260e-04
 7.17196761798783342e+01, 2.94515568617987353e-04
 7.18564842328332105e+01, 2.96041078747702783e-04
 7.20642399913855769e+01, 2.98372630126962526e-04
 7.22719957499379433e+01, 3.00729477350388885e-04
 7.24797515084903097e+01, 3.03103155886417423e-04
 7.26875072670426761e+01, 3.05496706510785684e-04
 7.33390406636911081e+01, 3.13099500835766907e-04
 7.39905740603395401e+01, 3.20782059496310689e-04
 7.46421074569879721e+01, 3.28481361927530089e-04
 7.52936408536364041e+01, 3.36145827783133585e-04
 7.59451742502848361e+01, 3.43706167288855341e-04
 7.65967076469332682e+01, 3.51113536412866664e-04
 7.72482410435817002e+01, 3.58338664092278222e-04
 7.78997744402301322e+01, 3.65346011515065602e-04
 7.89175533026252225e+01, 3.75785773523685867e-04
 7.99353321650203128e+01, 3.85538770957196948e-04
 8.09531110274154031e+01, 3.94573761126229485e-04
 8.19708898898104934e+01, 4.02921146093537970e-04
 8.29886687522055837e+01, 4.10523166810323136e-04
 8.40064476146006740e+01, 4.17368385877710311e-04
 8.50242264769957643e+01, 4.23552717349600402e-04
 8.60420053393908546e+01, 4.29225059231584086e-04
 8.70597842017859449e+01, 4.34158134538847646e-04
 8.80775630641810352e+01, 4.38481916133786947e-04
 8.90953419265761255e+01, 4.42480576127627192e-04
 9.01131207889712158e+01, 4.46050558219749044e-04
 9.11308996513663061e+01, 4.48983444074847879e-04
 9.21486785137613964e+01, 4.51608035605547580e-04
 9.31664573761564867e+01, 4.53987819296803349e-04
 9.41842362385515770e+01, 4.56049226262624614e-04
 9.52020151009466673e+01, 4.57641174418654600e-04
 9.62197939633417576e+01, 4.59187984484780271e-04
 9.72375728257368479e+01, 4.60647158774419511e-04
 9.82553516881319382e+01, 4.61579212662528151e-04
 9.92731305505270285e+01, 4.62463608953865286e-04
 1.00290909412922119e+02, 4.63282563725322472e-04
 1.01308688275317209e+02, 4.63843982171201327e-04
 1.02326467137712299e+02, 4.64223352471383234e-04
 1.03344246000107390e+02, 4.64539522039320225e-04
 1.04362024862502480e+02, 4.64798995759747651e-04
 1.05028654751503154e+02, 4.64855784301370614e-04
 1.05479135551599356e+02, 4.64893268037732006e-04
 1.05929616351695557e+02, 4.64906538277813175e-04
 1.06380097151791759e+02, 4.64914205157752197e-04
 1.06830577951887960e+02, 4.64908681793562296e-04
 1.07281058751984162e+02, 4.64874891156550458e-04
 1.07731539552080363e+02, 4.64821398034403262e-04
 1.08182020352176565e+02, 4.64768370626251538e-04
 1.08632501152272766e+02, 4.64703448198802846e-04
 1.09082981952368968e+02, 4.64619913974535315e-04
 1.09533462752465169e+02, 4.64528811586693922e-04
 1.09838917358001652e+02, 4.64460024165387229e-04
 1.10144371963538134e+02, 4.64384045861481799e-04
 1.10449826569074617e+02, 4.64305713448568596e-04
 1.10755281174611099e+02, 4.64217889001937716e-04
 1.11060735780147581e+02, 4.64126249379328312e-04
 1.11572567571104827e+02, 4.63964498589610657e-04
 1.12084399362062072e+02, 4.63788594316305830e-04
 1.12596231153019318e+02, 4.63600264909858908e-04
 1.13108062943976563e+02, 4.63399844979814715e-04
 1.14303410487111265e+02, 4.62886357618263479e-04
 1.16148260903404633e+02, 4.61995137407269303e-04
 1.17993111319698002e+02, 4.60970316203041777e-04
 1.19837961735991371e+02, 4.59860472475036341e-04
 1.21682812152284740e+02, 4.58666808055651948e-04
 1.24490009299466124e+02, 4.56695484451558097e-04
 1.27297206446647508e+02, 4.54595105559312397e-04
 1.30104403593828891e+02, 4.52408585301012202e-04
 1.32911600741010290e+02, 4.50112617007092299e-04
 1.35718797888191688e+02, 4.47762611421401884e-04
 1.38525995035373086e+02, 4.45319793261585010e-04
 1.41333192182554484e+02, 4.42903626381941837e-04
 1.44140389329735882e+02, 4.40396812047732838e-04
 1.46947586476917280e+02, 4.37894913466294338e-04
 1.49754783624098678e+02, 4.35347893225860997e-04
 1.52561980771280076e+02, 4.32780072081259540e-04
 1.55369177918461475e+02, 4.30263448679899939e-04
 1.58176375065642873e+02, 4.27694507175797780e-04
 1.60983572212824271e+02, 4.25176989211855586e-04
 1.63790769360005669e+02, 4.22599363659324995e-04
 1.66597966507187067e+02, 4.20132594127949511e-04
 1.69405163654368465e+02, 4.17585843336238511e-04
 1.72212360801549863e+02, 4.15105023389492197e-04
 1.75019557948731261e+02, 4.12567992141200273e-04
 1.77826755095912659e+02, 4.10050605086677506e-04
 1.80633952243094058e+02, 4.07616893675674934e-04
 1.83441149390275456e+02, 4.05141090940535785e-04
 1.86248346537456854e+02, 4.02763726780757639e-04
 1.89055543684638252e+02, 4.00293255832371425e-04
 1.91862740831819650e+02, 3.97954211654532447e-04
 1.94669937979001048e+02, 3.95575719528059157e-04
 1.97477135126182446e+02, 3.93222562376349899e-04
 2.00284332273363844e+02, 3.90913034345291967e-04
 2.03091529420545243e+02, 3.88596794507759013e-04
 2.05898726567726641e+02, 3.86345876368250770e-04
 2.08705923714908039e+02, 3.84040732283905594e-04
 2.11513120862089437e+02, 3.81844060716441205e-04
 2.14320318009270835e+02, 3.79631621435085477e-04
 2.17127515156452233e+02, 3.77455018757122548e-04
 2.19934712303633631e+02, 3.75282784730112924e-04
 2.22741909450815029e+02, 3.73140041028831857e-04
 2.27256073681541608e+02, 3.69748543509251858e-04
 2.31770237912268186e+02, 3.66421544920588111e-04
 2.36284402142994765e+02, 3.63155356912761215e-04
 2.43129584785593295e+02, 3.58321380538879420e-04
 2.49974767428191825e+02, 3.53628207424317343e-04
 2.56819950070790355e+02, 3.49076540170031185e-04
 2.63665132713388914e+02, 3.44662845169397820e-04
 2.70510315355987473e+02, 3.40386244228108416e-04
 2.77355497998586031e+02, 3.36242024965905317e-04
 2.84200680641184590e+02, 3.32230056931684392e-04
 2.91045863283783149e+02, 3.28345417666711561e-04
 2.97891045926381707e+02, 3.24585377579040201e-04
 3.04736228568980266e+02, 3.20945922532403006e-04
 3.08984592615271822e+02, 3.18746363037898748e-04
 3.13232956661563378e+02, 3.16591317252180816e-04
 3.17481320707854934e+02, 3.14479783748735015e-04
 3.21729684754146490e+02, 3.12410909779902075e-04
 3.25978048800438046e+02, 3.10383844495849782e-04
 3.30226412846729602e+02, 3.08397753521856967e-04
 3.34474776893021158e+02, 3.06451791008916310e-04
 3.38723140939312714e+02, 3.04545122915848376e-04
 3.42971504985604270e+02, 3.02676950408154995e-04
 3.47219869031895826e+02, 3.00846453545608580e-04
 3.51468233078187382e+02, 2.99052847281743961e-04
 3.54139410307138348e+02, 2.97943634539298984e-04
 3.56810587536089315e+02, 2.96848498574423718e-04
 3.59481764765040282e+02, 2.95767246820389704e-04
 3.62152941993991249e+02, 2.94699692979700416e-04
 3.64824119222942215e+02, 2.93645650019165052e-04
 3.67495296451893182e+02, 2.92604932719138489e-04
 3.70166473680844149e+02, 2.91577358632148884e-04
 3.72837650909795116e+02, 2.90562747517263164e-04
 3.75508828138746082e+02, 2.89560921231763466e-04
 3.76999987377784180e+02, 2.89007158549553240e-04
 3.77930073737846612e+02, 2.88663733053604618e-04
 3.78860160097909045e+02, 2.88321817109858690e-04
 3.79790246457971477e+02, 2.87981403456080102e-04
 3.80720332818033910e+02, 2.87642484768453144e-04
 3.81650419178096342e+02, 2.87305053945974493e-04
 3.82580505538158775e+02, 2.86969103656094650e-04
 3.83510591898221207e+02, 2.86634626841773062e-04
 3.84440678258283640e+02, 2.86301616374223941e-04
 3.85370764618346072e+02, 2.85970065064302878e-04
 3.87026185086579062e+02, 2.85383549556214990e-04
 3.88681605554812052e+02, 2.84801593420175195e-04
 3.90337026023045041e+02, 2.84224109236047801e-04
 3.91992446491278031e+02, 2.83651180855420699e-04
 3.93647866959511020e+02, 2.83082653105862290e-04
 3.95303287427744010e+02, 2.82518497616244374e-04
 3.96958707895977000e+02, 2.81958746757414653e-04
 3.98614128364209989e+02, 2.81403363280579341e-04
 4.00269548832442979e+02, 2.80852234794294196e-04
 4.01924969300675968e+02, 2.80305362009317116e-04
 4.06164502600742594e+02, 2.78923859103748684e-04
 4.10404035900809220e+02, 2.77569979748618415e-04
 4.14643569200875845e+02, 2.76242055540841188e-04
 4.18883102500942471e+02, 2.74939994495799708e-04
 4.23122635801009096e+02, 2.73663240534876304e-04
 4.27362169101075722e+02, 2.72411250636205764e-04
 4.31601702401142347e+02, 2.71183482543954591e-04
 4.35841235701208973e+02, 2.69978874460318158e-04
 4.40080769001275598e+02, 2.68798530622737261e-04
 4.44320302301342224e+02, 2.67639755612948855e-04
 4.48559835601408849e+02, 2.66503699340161376e-04
 4.52799368901475475e+02, 2.65389341238979608e-04
 4.57038902201542101e+02, 2.64296170109277269e-04
 4.61278435501608726e+02, 2.63224239077983321e-04
 4.65517968801675352e+02, 2.62171668350033419e-04
 4.69757502101741977e+02, 2.61139409654388395e-04
 4.73997035401808603e+02, 2.60127034196420081e-04
 4.78236568701875228e+02, 2.59132789859332804e-04
 4.82476102001941854e+02, 2.58157604688372035e-04
 4.86715635302008479e+02, 2.57200996140359941e-04
 4.90955168602075105e+02, 2.56261802622367852e-04
 4.95194701902141730e+02, 2.55340035559703841e-04
 5.02465761229116140e+02, 2.53798078096190117e-04
 5.09736820556090549e+02, 2.52306516445758927e-04
 5.17007879883065016e+02, 2.50859859390749026e-04
 5.24278939210039425e+02, 2.49458174796981125e-04
 5.31549998537013835e+02, 2.48099789297903564e-04
 5.38821057863988244e+02, 2.46783226484021030e-04
 5.46092117190962654e+02, 2.45507006107636972e-04
 5.53363176517937063e+02, 2.44269712290204007e-04
 5.60634235844911473e+02, 2.43069984145127696e-04
 5.67905295171885882e+02, 2.41906515409233587e-04
 5.75176354498860292e+02, 2.40778051924745595e-04
 5.86460177009771883e+02, 2.39091594867165135e-04
 5.97743999520683474e+02, 2.37487688339654086e-04
 6.15781971265233210e+02, 2.35062905792735380e-04
 6.33819943009782946e+02, 2.32822190885187879e-04
 6.51857914754332683e+02, 2.30726622971682432e-04
 6.69895886498882419e+02, 2.28783985295721973e-04
 6.87933858243432155e+02, 2.26974327769617016e-04
 7.05971829987981891e+02, 2.25287732668821270e-04
 7.24009801732531628e+02, 2.23717796441030110e-04
 7.42047773477081364e+02, 2.22251175743076095e-04
 7.60085745221631100e+02, 2.20885020002814438e-04
 7.78123716966180837e+02, 2.19607174525295122e-04
 7.96161688710730573e+02, 2.18415534234105374e-04
 8.14199660455280309e+02, 2.17301163940932239e-04
 8.32237632199830045e+02, 2.16259098777497525e-04
 8.50275603944379782e+02, 2.15284430118774575e-04
 8.68313575688929518e+02, 2.14372432319860493e-04
 8.86351547433479254e+02, 2.13518342404377934e-04
 9.04389519178028991e+02, 2.12719343249114700e-04
 9.22427490922578727e+02, 2.11970562335889678e-04
 9.40465462667128463e+02, 2.11268961670361261e-04
 9.58503434411678199e+02, 2.10611355658835018e-04
 9.76541406156227936e+02, 2.09994811606682518e-04
 9.94579377900777672e+02, 2.09416596833136083e-04
 1.00000000000000000e+03, 2.08874188592220189e-04
